,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/6/24,48.88686371,1913.900024,192.6000061,1115.52002,371.0400085,49.64500046,1913.900024,192.6000061,1115.52002,371.0400085,50.04000092,1916.859985,193.9799957,1122,375,49.54249954,1901.300049,191.5700073,1111.01001,370.2000122,49.63499832,1912.660034,192.4199982,1119.609985,370.269989,72881600,2283000,15509000,1395600,4830200
2019/6/25,48.14585495,1878.27002,188.8399963,1086.349976,360.2999878,48.89250183,1878.27002,188.8399963,1086.349976,360.2999878,49.81499863,1916.390015,193.1399994,1114.349976,371,48.82249832,1872.420044,188.1300049,1083.800049,358.2900085,49.60749817,1911.839966,192.8800049,1112.660034,370.75,84281200,3012300,16750300,1546900,5750400
2019/6/26,49.18720627,1897.829956,187.6600037,1079.800049,362.2000122,49.95000076,1897.829956,187.6600037,1079.800049,362.2000122,50.24750137,1903.800049,190.7599945,1092.969971,366.7900085,49.33750153,1887.319946,187.3099976,1072.23999,361.6000061,49.44250107,1892.47998,189.5399933,1086.5,361.6000061,104270000,2441900,12808600,1810900,3669700
2019/6/27,49.17243576,1904.280029,189.5,1076.01001,370.019989,49.93500137,1904.280029,189.5,1076.01001,370.019989,50.39250183,1911.23999,198.8800049,1087.099976,370.8500061,49.89250183,1898.040039,188.2700043,1075.290039,363.2000122,50.07249832,1902,189.8800049,1084,363.2000122,83598800,2141700,11159000,1004300,4138600
2019/6/28,48.72438431,1893.630005,193,1080.910034,367.3200073,49.47999954,1893.630005,193,1080.910034,367.3200073,49.875,1912.939941,193.1999969,1081,371.5400085,49.26250076,1884,189.9400024,1073.369995,364.8699951,49.66999817,1909.099976,190.5500031,1076.390015,370.2600098,124442400,3037400,16378900,1693200,4592700
2019/7/1,49.61802673,1922.189941,193,1097.949951,374.6000061,50.38750076,1922.189941,193,1097.949951,374.6000061,51.12250137,1929.819946,195.2799988,1107.579956,376.6600037,50.16249847,1914.660034,191.9299927,1093.703003,372,50.79249954,1922.97998,195.2100067,1098,373.5,109012000,3192100,14181800,1436300,4992600
2019/7/2,49.90851212,1934.310059,195,1111.25,375.4299927,50.68249893,1934.310059,195,1111.25,375.4299927,50.78250122,1934.790039,195,1111.77002,376,50.34000015,1906.630005,192.7100067,1098.170044,370.3099976,50.35250092,1919.380005,193,1102.23999,374.8900146,67740800,2645900,9050000,991600,3625000
2019/7/3,50.32210159,1939,197.1999969,1121.579956,381.7200012,51.10250092,1939,197.1999969,1121.579956,381.7200012,51.11000061,1941.589966,197.3999939,1126.76001,381.9899902,50.67250061,1930.5,194.1600037,1113.859985,375.8399963,50.81999969,1935.890015,194.1600037,1117.410034,376.6900024,45448000,1690300,10246100,767000,3799000
2019/7/5,50.27779007,1942.910034,196.3999939,1131.589966,380.5499878,51.05749893,1942.910034,196.3999939,1131.589966,380.5499878,51.27000046,1945.900024,197.0700073,1132.880005,381.3999939,50.72499847,1925.300049,194.1699982,1116.140015,375.5599976,50.83750153,1928.599976,196.1799927,1117.800049,378.2900085,69062000,2628400,11164100,1264300,3732200
2019/7/8,49.24135971,1952.319946,195.7599945,1116.349976,376.1600037,50.00500107,1952.319946,195.7599945,1116.349976,376.1600037,50.34999847,1956,196.6799927,1125.97998,378.25,49.60250092,1928.25,193.6399994,1111.209961,375.3599854,50.20249939,1934.119995,195.1900024,1125.170044,378.1900024,101354400,2883400,9723900,1236400,3113400
