数据来源：高顿教育 CQF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,rank2008,rank2009,rank2010,rank2011,rank2012,rank2013,rank2014,rank2015,rank2016,rank2017,rank2018,rank2019,rank2020,rank2021,ave_rank
201,163804,-0.4318,0.5297,0.1237,-0.2206,0.1602,0.2822,0.1345,0.4644,-0.0937,0.0864,-0.0771,0.3563,0.6604,0.117,41,179,33,104,7,21,163,75,93,165,5,166,53,51,82
27,166001,-0.5862,0.604,-0.1627,-0.2643,0.1076,0.0668,0.2609,0.6164,-0.016,0.2385,-0.2341,0.5481,0.6026,-0.0272,215,151,233,181,41,163,80,23,29,67,122,45,78,157,113
180,180001,-0.4547,0.5062,0.0411,-0.1531,0.0732,0.0969,0.1927,0.3967,-0.192,-0.0321,-0.2969,0.4858,0.5036,-0.0457,62,191,92,22,78,136,114,105,178,223,203,75,129,179,127
74,180003,-0.5402,0.8246,-0.1801,-0.2153,0.0506,-0.0079,0.3434,-0.023,-0.0375,0.2855,-0.2125,0.3641,0.5491,-0.0062,168,47,236,95,114,204,42,235,44,44,89,158,103,144,123
97,180010,-0.5244,0.844,0.0683,-0.2622,0.0216,0.3232,0.1117,0.3561,-0.0891,0.1452,-0.2513,0.3772,0.6037,-0.0836,145,36,64,178,163,13,175,125,83,130,153,151,76,212,121
121,180012,-0.5048,0.9188,0.1568,-0.2844,0.0041,0.0887,0.161,0.401,0.0746,0.531,-0.2245,0.6286,0.8778,0.0303,121,17,24,203,193,144,140,103,2,5,104,19,12,107,85
228,200001,-0.3496,0.3783,-0.0625,-0.2029,0.1073,0.2031,0.036,0.12,0.0147,-0.0087,-0.2779,0.5311,0.4298,0.2218,14,227,192,71,42,46,223,214,14,217,185,55,165,19,120
10,200002,-0.6344,0.924,-0.1105,-0.2411,0.0791,-0.0618,0.4912,0.0583,-0.0707,0.2459,-0.2071,0.3821,0.3325,-0.0196,232,15,220,147,73,226,22,228,58,64,82,149,200,151,133
113,200006,-0.5107,0.8794,-0.0805,-0.1654,0.0415,0.0159,0.0512,0.2668,-0.177,0.0681,-0.162,0.392,0.4831,-0.0701,129,27,209,28,129,196,213,158,161,178,36,145,139,203,139
23,200007,-0.589,0.6132,0.0999,-0.2043,0.0701,0.0895,0.075,0.395,-0.0931,0.1507,-0.2434,0.419,0.6545,0.0438,219,145,42,73,86,142,200,106,91,128,140,119,56,93,117
62,200008,-0.5501,0.7394,-0.1734,-0.1212,0.1274,-0.0461,0.2913,0.3013,-0.1096,0.3577,-0.3074,0.6179,0.7321,-0.0778,180,83,234,14,21,219,65,147,110,15,212,21,37,207,111
86,202001,-0.5295,0.4461,-0.0725,-0.2082,-0.0072,0.0535,0.2107,0.4273,-0.1186,0.1917,-0.2317,0.4244,0.5917,0.0277,156,209,205,80,204,171,106,89,115,97,121,109,83,108,132
85,202002,-0.5299,0.4182,-0.0545,-0.2117,-0.0059,0.0513,0.2148,0.4242,-0.1198,0.1913,-0.2305,0.4199,0.5937,0.0342,157,219,183,88,201,174,103,92,120,98,119,117,82,103,132
133,202003,-0.4948,0.5948,0.0238,-0.2326,0.0746,0.1459,0.1273,0.5949,-0.1612,0.3574,-0.2621,0.5469,0.463,-0.035,109,155,109,124,76,88,168,32,150,16,168,46,147,168,111
88,202005,-0.5284,0.5318,-0.0656,-0.1735,0.146,-0.0715,0.5815,0.2581,0.0103,0.2905,-0.3124,0.5124,0.4362,-0.0107,154,178,196,35,12,228,10,164,16,42,215,61,162,145,115
31,202007,-0.5797,0.5959,0.0057,-0.2757,0.0913,-0.0765,0.0405,0.463,-0.1266,0.2449,-0.163,0.4576,0.537,-0.102,211,154,121,197,56,232,220,76,121,65,38,91,114,225,137
199,202801,-0.4333,0.3955,0.0189,-0.2013,0.1559,0.0976,0.0784,-0.0303,-0.015,0.1637,-0.0971,0.285,0.1756,-0.0052,43,222,112,68,8,135,196,238,27,122,9,209,231,143,125
220,206001,-0.3911,0.5674,0.1078,-0.23,0.0307,0.1032,0.0771,0.2609,0.0277,0.0423,0.0037,0.0304,0.0161,0.024,22,168,39,121,145,127,198,160,8,188,2,242,241,115,126
109,210001,-0.5143,0.6219,0.0436,-0.2761,0.0345,0.1625,0.027,0.3877,0.0235,0.1026,-0.2552,0.2917,0.3893,-0.0458,133,138,88,199,140,74,226,108,10,152,160,206,186,180,142
160,213001,-0.4747,0.0937,0.0111,-0.2093,0.0605,0.1106,0.5389,0.3456,-0.2338,0.1908,-0.1294,0.8075,0.8755,-0.0508,82,241,119,82,92,120,17,130,205,100,16,5,13,184,100
73,213002,-0.5407,0.3543,-0.2404,-0.2303,0.0407,0.1346,0.2156,0.4569,-0.1882,-0.0031,-0.2802,0.5116,0.2787,0.0885,169,231,242,122,130,97,101,77,173,214,189,62,211,71,149
