,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
80,SPY210305C00392000,2021-03-04 21:13:30,392.0,0.02,0.02,0.03,-0.18,-90.0,12021.0,11554,0.3398503515625,False,REGULAR,USD
81,SPY210305C00392500,2021-03-04 21:00:52,392.5,0.03,0.02,0.03,-0.13,-81.25,5863.0,10995,0.34961587890624996,False,REGULAR,USD
82,SPY210305C00393000,2021-03-04 21:11:37,393.0,0.02,0.01,0.02,-0.120000005,-85.71429,10594.0,14783,0.3398503515625,False,REGULAR,USD
83,SPY210305C00394000,2021-03-04 21:13:21,394.0,0.01,0.01,0.02,-0.1,-90.909096,6833.0,8159,0.35938140625,False,REGULAR,USD
84,SPY210305C00395000,2021-03-04 21:11:45,395.0,0.01,0.0,0.01,-0.049999997,-83.33333,13074.0,26260,0.3437565625,False,REGULAR,USD
85,SPY210305C00396000,2021-03-04 21:13:50,396.0,0.01,0.0,0.01,-0.049999997,-83.33333,4303.0,15357,0.367193828125,False,REGULAR,USD
86,SPY210305C00397000,2021-03-04 21:09:03,397.0,0.01,0.0,0.01,-0.02,-66.66667,4968.0,13080,0.38281867187499996,False,REGULAR,USD
87,SPY210305C00397500,2021-03-04 20:47:28,397.5,0.01,0.0,0.01,-0.02,-66.66667,1111.0,3562,0.39063109375,False,REGULAR,USD
88,SPY210305C00398000,2021-03-04 21:05:30,398.0,0.01,0.0,0.01,-0.02,-66.66667,2356.0,6524,0.398443515625,False,REGULAR,USD
89,SPY210305C00399000,2021-03-04 19:58:02,399.0,0.01,0.0,0.01,-0.01,-50.0,1263.0,8194,0.414068359375,False,REGULAR,USD
90,SPY210305C00400000,2021-03-04 21:08:50,400.0,0.01,0.0,0.01,-0.01,-50.0,3625.0,136140,0.42969320312500003,False,REGULAR,USD
91,SPY210305C00401000,2021-03-04 21:06:31,401.0,0.01,0.0,0.01,-0.01,-50.0,1134.0,12376,0.445318046875,False,REGULAR,USD
92,SPY210305C00402000,2021-03-04 20:30:34,402.0,0.01,0.0,0.01,0.0,0.0,350.0,9518,0.46094289062500005,False,REGULAR,USD
93,SPY210305C00402500,2021-03-04 18:33:52,402.5,0.01,0.0,0.01,0.0,0.0,33.0,906,0.4687553125,False,REGULAR,USD
94,SPY210305C00403000,2021-03-04 19:28:47,403.0,0.01,0.0,0.01,0.0,0.0,117.0,4781,0.476567734375,False,REGULAR,USD
95,SPY210305C00404000,2021-03-04 19:27:56,404.0,0.01,0.0,0.01,0.0,0.0,76.0,2755,0.49219257812500006,False,REGULAR,USD
96,SPY210305C00405000,2021-03-04 14:30:00,405.0,0.01,0.0,0.01,0.0,0.0,115.0,5211,0.507817421875,False,REGULAR,USD
97,SPY210305C00406000,2021-03-04 20:16:28,406.0,0.01,0.0,0.01,0.0,0.0,18.0,947,0.523442265625,False,REGULAR,USD
98,SPY210305C00407000,2021-03-04 17:03:47,407.0,0.01,0.0,0.01,0.0,0.0,83.0,2410,0.500005,False,REGULAR,USD
99,SPY210305C00407500,2021-03-04 18:25:59,407.5,0.01,0.0,0.01,0.0,0.0,7.0,1400,0.51562984375,False,REGULAR,USD
100,SPY210305C00408000,2021-03-03 15:01:01,408.0,0.01,0.0,0.01,0.0,0.0,7.0,2223,0.51562984375,False,REGULAR,USD
101,SPY210305C00409000,2021-03-03 16:58:01,409.0,0.01,0.0,0.01,0.0,0.0,1.0,1260,0.5312546875,False,REGULAR,USD
102,SPY210305C00410000,2021-03-03 21:10:39,410.0,0.01,0.0,0.01,0.0,0.0,5.0,4456,0.5468795312500001,False,REGULAR,USD
103,SPY210305C00411000,2021-03-02 20:20:55,411.0,0.01,0.0,0.01,0.0,0.0,92.0,2107,0.5625043750000001,False,REGULAR,USD
104,SPY210305C00412000,2021-03-02 16:37:02,412.0,0.01,0.0,0.01,0.0,0.0,258.0,1162,0.57812921875,False,REGULAR,USD
105,SPY210305C00413000,2021-03-02 15:51:12,413.0,0.01,0.0,0.01,0.0,0.0,37.0,593,0.5937540625000001,False,REGULAR,USD
106,SPY210305C00414000,2021-03-02 14:33:46,414.0,0.01,0.0,0.01,0.0,0.0,25.0,2035,0.5937540625000001,False,REGULAR,USD
107,SPY210305C00415000,2021-03-02 14:30:00,415.0,0.01,0.0,0.01,0.0,0.0,6.0,2682,0.6250037500000001,False,REGULAR,USD
108,SPY210305C00416000,2021-03-03 16:57:21,416.0,0.01,0.0,0.01,0.0,0.0,7.0,1187,0.6250037500000001,False,REGULAR,USD
109,SPY210305C00417000,2021-02-26 20:24:29,417.0,0.01,0.0,0.01,0.0,0.0,2.0,307,0.64062859375,False,REGULAR,USD
110,SPY210305C00418000,2021-02-26 16:22:48,418.0,0.01,0.0,0.01,0.0,0.0,4.0,352,0.6562534375000001,False,REGULAR,USD
111,SPY210305C00419000,2021-02-26 18:10:28,419.0,0.01,0.0,0.01,0.0,0.0,610.0,610,0.6718782812500002,False,REGULAR,USD
112,SPY210305C00420000,2021-03-04 17:10:58,420.0,0.01,0.0,0.01,0.0,0.0,6.0,942,0.6875031250000001,False,REGULAR,USD
113,SPY210305C00421000,2021-02-26 18:10:54,421.0,0.02,0.0,0.01,0.0,0.0,340.0,340,0.70312796875,False,REGULAR,USD
114,SPY210305C00422000,2021-02-26 20:18:16,422.0,0.02,0.0,0.01,0.0,0.0,240.0,237,0.7187528125,False,REGULAR,USD
115,SPY210305C00423000,2021-03-02 15:10:04,423.0,0.01,0.0,0.01,0.0,0.0,3.0,55,0.7187528125,False,REGULAR,USD
116,SPY210305C00424000,2021-02-26 18:51:01,424.0,0.01,0.0,0.01,0.0,0.0,1.0,4,0.7500025,False,REGULAR,USD
117,SPY210305C00425000,2021-02-26 18:51:54,425.0,0.01,0.0,0.01,0.0,0.0,12.0,496,0.7500025,False,REGULAR,USD
118,SPY210305C00426000,2021-02-25 16:58:03,426.0,0.01,0.0,0.01,0.0,0.0,,188,0.7656273437500001,False,REGULAR,USD
119,SPY210305C00427000,2021-02-25 16:58:03,427.0,0.01,0.0,0.01,0.0,0.0,,731,0.7812521875,False,REGULAR,USD
120,SPY210305C00428000,2021-02-25 16:50:25,428.0,0.01,0.0,0.01,0.0,0.0,,420,0.7812521875,False,REGULAR,USD
121,SPY210305C00429000,2021-02-25 16:46:47,429.0,0.01,0.0,0.01,0.0,0.0,,100,0.8125018749999999,False,REGULAR,USD
122,SPY210305C00430000,2021-02-26 19:47:11,430.0,0.01,0.0,0.01,0.0,0.0,11.0,1562,0.8125018749999999,False,REGULAR,USD
123,SPY210305C00435000,2021-02-16 18:41:52,435.0,0.02,0.0,0.01,0.0,0.0,11.0,75,0.87500125,False,REGULAR,USD
124,SPY210305C00440000,2021-02-12 18:08:43,440.0,0.01,0.0,0.01,0.0,0.0,20.0,217,0.937500625,False,REGULAR,USD
125,SPY210305C00445000,2021-02-18 16:56:08,445.0,0.01,0.0,0.01,0.0,0.0,200.0,211,1.000005,False,REGULAR,USD
126,SPY210305C00450000,2021-02-26 15:30:36,450.0,0.01,0.0,0.01,0.0,0.0,10.0,461,1.0625046875000002,False,REGULAR,USD
127,SPY210305C00455000,2021-02-09 20:31:57,455.0,0.01,0.0,0.01,0.0,0.0,170.0,186,1.125004375,False,REGULAR,USD
128,SPY210305C00460000,2021-02-25 18:22:51,460.0,0.01,0.0,0.01,0.0,0.0,220.0,375,1.1875040625,False,REGULAR,USD
129,SPY210305C00470000,2021-02-04 15:13:39,470.0,0.01,0.0,0.01,0.0,0.0,,70,1.3125034374999998,False,REGULAR,USD
130,SPY210305C00490000,2021-03-03 21:02:04,490.0,0.01,,0.01,0.0,0.0,5.0,13,1.625001875,False,REGULAR,USD
