Date,AMD,CSCO,INTC,INTU,NVDA
2017/7/14,13.92,27.452951,30.738995,128.492996,40.788376
2017/7/17,13.8,27.522848,30.552858,128.676773,40.615284
2017/7/18,13.48,27.531588,30.606033,129.23761,41.038132
2017/7/19,13.55,27.872351,30.632633,130.726776,40.825462
2017/7/20,13.8,27.837399,30.801041,130.881485,41.418945
2017/7/21,13.88,27.819925,30.78331,130.38826,41.567307
2017/7/24,14.16,27.837399,30.579451,131.75174,41.085106
2017/7/25,14.11,28.064568,30.730129,132.322235,40.887291
2017/7/26,14.76,27.662651,30.801041,132.612381,41.359577
2017/7/27,14.12,27.584011,30.99604,132.351242,39.994617
2017/7/28,13.95,27.540325,31.297405,131.16188,40.649895
2017/7/31,13.61,27.479164,31.439222,132.680069,40.185013
2017/8/1,13.71,27.653915,32.219208,132.892807,40.674625
2017/8/2,13.37,27.540325,32.476257,132.022476,40.649895
2017/8/3,13.24,27.575275,32.586109,132.612381,41.166702
2017/8/4,13.12,27.784975,32.416428,132.38028,41.34721
2017/8/7,13.43,27.819925,32.532528,132.138504,42.618229
2017/8/8,13.11,27.671389,32.514668,131.684052,42.111313
2017/8/9,12.83,27.627701,32.675396,132.302963,42.558876
2017/8/10,12.12,27.085985,32.273544,130.697723,40.736458
2017/8/11,12.23,27.496639,32.032429,132.09021,38.565353
2017/8/14,12.76,27.819925,32.452148,134.304581,41.641479
2017/8/15,13.02,28.038359,32.148529,132.931473,41.290348
2017/8/16,12.63,28.256798,31.978859,133.366608,40.83783
2017/8/17,12.34,27.120935,31.407326,130.020844,39.927853
2017/8/18,12.37,26.535526,31.264442,129.682404,39.935272
2017/8/21,12.05,26.806387,31.184071,131.422943,39.354172
2017/8/22,12.17,27.321896,30.942957,133.589035,40.230301
2017/8/23,12.48,27.016083,30.951887,131.045853,41.034657
2017/8/24,12.5,27.295679,30.99654,130.862122,40.883682
2017/8/25,12.43,27.47043,30.960821,132.81546,40.542145
2017/8/28,12.23,27.557802,30.942957,133.347244,40.829243
2017/8/29,12.15,27.505375,31.014397,133.453629,40.762409
2017/8/30,12.67,27.950983,31.157278,135.348907,41.004959
2017/8/31,13,28.143208,31.318026,136.78006,41.935547
2017/9/1,13.19,28.221844,31.335882,137.21521,42.187984
2017/9/5,12.92,27.627701,31.273373,136.867096,41.061882
2017/9/6,12.86,27.84614,31.9342,136.48027,41.037128
2017/9/7,12.63,27.750027,31.737734,136.34494,41.227707
2017/9/8,12.25,27.505375,31.42518,136.886444,40.51244
2017/9/11,12.55,28.125736,31.94313,137.930771,41.826637
2017/9/12,12.3,28.317959,32.228901,137.679337,41.977619
2017/9/13,12.22,28.116995,32.443222,137.369949,42.16571
2017/9/14,12.26,28.125736,32.577168,137.389267,41.925644
2017/9/15,12.52,28.344166,33.041534,137.437607,44.576309
2017/9/18,13.08,28.414068,33.041534,139.052475,46.417675
2017/9/19,13.12,28.387854,33.246929,140.541641,46.368168
2017/9/20,13.74,28.483967,33.10405,140.183853,45.994453
2017/9/21,13.41,28.571346,33.220146,139.719711,44.737183
2017/9/22,13.3,29.156744,33.202286,141.489288,44.30159
2017/9/25,12.61,29.462563,33.184418,139.961441,42.321632
2017/9/26,12.45,29.497509,33.461262,139.990433,42.559231
2017/9/27,12.74,29.252863,33.523773,139.593964,43.492279
2017/9/28,12.74,29.139275,33.782738,137.611694,43.479904
2017/9/29,12.75,29.38393,34.005997,137.447266,44.244667
2017/10/2,12.71,29.488771,34.863293,137.060501,44.30159
