Start,End,Comment
31/01/1984,31/12/1988,Rolling 192
29/02/1984,31/01/1989,Rolling 193
31/03/1984,28/02/1989,Rolling 194
30/04/1984,31/03/1989,Rolling 195
31/05/1984,30/04/1989,Rolling 196
30/06/1984,31/05/1989,Rolling 197
31/07/1984,30/06/1989,Rolling 198
31/08/1984,31/07/1989,Rolling 199
30/09/1984,31/08/1989,Rolling 200
31/10/1984,30/09/1989,Rolling 201
30/11/1984,31/10/1989,Rolling 202
31/12/1984,30/11/1989,Rolling 203
31/01/1985,31/12/1989,Rolling 204
28/02/1985,31/01/1990,Rolling 205
31/03/1985,28/02/1990,Rolling 206
30/04/1985,31/03/1990,Rolling 207
31/05/1985,30/04/1990,Rolling 208
30/06/1985,31/05/1990,Rolling 209
31/07/1985,30/06/1990,Rolling 210
31/08/1985,31/07/1990,Rolling 211
30/09/1985,31/08/1990,Rolling 212
31/10/1985,30/09/1990,Rolling 213
30/11/1985,31/10/1990,Rolling 214
31/12/1985,30/11/1990,Rolling 215
31/01/1986,31/12/1990,Rolling 216
28/02/1986,31/01/1991,Rolling 217
31/03/1986,28/02/1991,Rolling 218
30/04/1986,31/03/1991,Rolling 219
31/05/1986,30/04/1991,Rolling 220
30/06/1986,31/05/1991,Rolling 221
31/07/1986,30/06/1991,Rolling 222
31/08/1986,31/07/1991,Rolling 223
30/09/1986,31/08/1991,Rolling 224
31/10/1986,30/09/1991,Rolling 225
30/11/1986,31/10/1991,Rolling 226
31/12/1986,30/11/1991,Rolling 227
31/01/1987,31/12/1991,Rolling 228
28/02/1987,31/01/1992,Rolling 229
31/03/1987,29/02/1992,Rolling 230
30/04/1987,31/03/1992,Rolling 231
31/05/1987,30/04/1992,Rolling 232
30/06/1987,31/05/1992,Rolling 233
31/07/1987,30/06/1992,Rolling 234
31/08/1987,31/07/1992,Rolling 235
30/09/1987,31/08/1992,Rolling 236
31/10/1987,30/09/1992,Rolling 237
30/11/1987,31/10/1992,Rolling 238
31/12/1987,30/11/1992,Rolling 239
31/01/1988,31/12/1992,Rolling 240
29/02/1988,31/01/1993,Rolling 241
31/03/1988,28/02/1993,Rolling 242
30/04/1988,31/03/1993,Rolling 243
31/05/1988,30/04/1993,Rolling 244
30/06/1988,31/05/1993,Rolling 245
31/07/1988,30/06/1993,Rolling 246
31/08/1988,31/07/1993,Rolling 247
30/09/1988,31/08/1993,Rolling 248
31/10/1988,30/09/1993,Rolling 249
