,Start,End,Comment,AR_IC,LR_IC,DT_IC,RF_IC,XB_IC,AR_HR,LR_HR,DT_HR,RF_HR,XB_HR,AR_RMSFE,LR_RMSFE,DT_RMSFE,RF_RMSFE,XB_RMSFE
1611,31/08/1979,31/07/1984,Rolling 139,-0.05,0.03,0.19,0.05,-0.05,0.52,0.57,0.62,0.52,0.5,0.043347806,0.052685242,0.046004315,0.044628051,0.045411588
1176,NA,NA,Relative to AR:,0,0.08,0.24,0.1,0,0,0.05,0.1,0,-0.02,1,1.215407,1.061284,1.029534,1.04761
1621,30/09/1979,31/08/1984,Rolling 140,-0.11,0.05,0.2,0.06,-0.04,0.5,0.58,0.62,0.52,0.5,0.044819357,0.052993585,0.046735876,0.045672231,0.046434584
1177,NA,NA,Relative to AR:,0,0.16,0.31,0.17,0.07,0,0.08,0.12,0.02,0,1,1.182382,1.042761,1.019029,1.036039
1631,31/10/1979,30/09/1984,Rolling 141,-0.11,0.05,0.2,0.06,-0.05,0.48,0.57,0.6,0.5,0.5,0.04485556,0.052884598,0.046660748,0.045771396,0.046655315
1178,NA,NA,Relative to AR:,0,0.16,0.31,0.17,0.06,0,0.09,0.12,0.02,0.02,1,1.178998,1.040244,1.020417,1.040123
1641,30/11/1979,31/10/1984,Rolling 142,-0.1,0.05,0.15,0.05,-0.05,0.48,0.57,0.58,0.48,0.5,0.043683331,0.051713163,0.046860329,0.044881747,0.045311148
1179,NA,NA,Relative to AR:,0,0.15,0.25,0.15,0.05,0,0.09,0.1,0,0.02,1,1.183819,1.072728,1.027434,1.037264
1651,31/12/1979,30/11/1984,Rolling 143,-0.12,0.01,0.12,0.05,-0.07,0.48,0.55,0.57,0.48,0.48,0.043623963,0.05077504,0.047406254,0.044659984,0.045539319
1180,NA,NA,Relative to AR:,0,0.13,0.24,0.17,0.05,0,0.07,0.09,0,0,1,1.163925,1.086702,1.023749,1.043906
1661,31/01/1980,31/12/1984,Rolling 144,-0.13,0,0.11,0.06,-0.06,0.47,0.55,0.55,0.5,0.48,0.043675248,0.050273026,0.047499588,0.044650073,0.045536508
1182,NA,NA,Relative to AR:,0,0.13,0.24,0.19,0.07,0,0.08,0.08,0.03,0.01,1,1.151064,1.087563,1.02232,1.042616
1671,29/02/1980,31/01/1985,Rolling 145,-0.14,0,0.15,0.05,-0.1,0.47,0.55,0.55,0.5,0.48,0.04409703,0.050614567,0.04735463,0.045103105,0.046053221
1183,NA,NA,Relative to AR:,0,0.14,0.29,0.19,0.04,0,0.08,0.08,0.03,0.01,1,1.1478,1.073873,1.022815,1.044361
1681,31/03/1980,28/02/1985,Rolling 146,-0.14,0,0.14,0.05,-0.11,0.47,0.53,0.55,0.5,0.48,0.044085159,0.050629081,0.047609593,0.045105591,0.046039333
1184,NA,NA,Relative to AR:,0,0.14,0.28,0.19,0.03,0,0.06,0.08,0.03,0.01,1,1.148438,1.079946,1.023147,1.044327
1691,30/04/1980,31/03/1985,Rolling 147,-0.11,0.05,0.17,0.02,-0.05,0.47,0.55,0.55,0.48,0.48,0.04129004,0.046960579,0.045079987,0.042815087,0.042498706
1185,NA,NA,Relative to AR:,0,0.16,0.28,0.13,0.06,0,0.08,0.08,0.01,0.01,1,1.137334,1.091788,1.036935,1.029273
1701,31/05/1980,30/04/1985,Rolling 148,-0.18,0.05,0.17,0.02,-0.05,0.47,0.55,0.55,0.47,0.47,0.041254129,0.046889418,0.045109252,0.042726208,0.042547467
1186,NA,NA,Relative to AR:,0,0.23,0.35,0.2,0.13,0,0.08,0.08,0,0,1,1.136599,1.093448,1.035683,1.031351
1711,30/06/1980,31/05/1985,Rolling 149,-0.15,0,0.18,0.06,-0.02,0.47,0.55,0.55,0.48,0.47,0.041297678,0.046326389,0.044923393,0.042383234,0.042513139
1187,NA,NA,Relative to AR:,0,0.15,0.33,0.21,0.13,0,0.08,0.08,0.01,0,1,1.121767,1.087795,1.026286,1.029432
1721,31/07/1980,30/06/1985,Rolling 150,-0.13,0,0.18,0.09,-0.02,0.48,0.55,0.57,0.5,0.47,0.041118527,0.046309973,0.044881643,0.04170511,0.042470145
1188,NA,NA,Relative to AR:,0,0.13,0.31,0.22,0.11,0,0.07,0.09,0.02,-0.01,1,1.126256,1.091519,1.014266,1.032871
1731,31/08/1980,31/07/1985,Rolling 151,-0.12,0.02,0.19,0.09,0.01,0.5,0.55,0.57,0.5,0.47,0.040380127,0.045391217,0.044460651,0.041373865,0.042028072
1189,NA,NA,Relative to AR:,0,0.14,0.31,0.21,0.13,0,0.05,0.07,0,-0.03,1,1.124098,1.101053,1.02461,1.040811
1741,30/09/1980,31/08/1985,Rolling 152,-0.13,0.02,0.17,0.08,0,0.5,0.53,0.55,0.48,0.47,0.040422856,0.043710412,0.045092743,0.041387846,0.042340926
1190,NA,NA,Relative to AR:,0,0.15,0.3,0.21,0.13,0,0.03,0.05,-0.02,-0.03,1,1.081329,1.115526,1.023872,1.04745
1751,31/10/1980,30/09/1985,Rolling 153,-0.13,0.05,0.19,0.1,0.02,0.5,0.53,0.57,0.5,0.47,0.04067815,0.043198581,0.044789649,0.041403162,0.042687973
1192,NA,NA,Relative to AR:,0,0.18,0.32,0.23,0.15,0,0.03,0.07,0,-0.03,1,1.06196,1.101074,1.017823,1.049408
1761,30/11/1980,31/10/1985,Rolling 154,-0.14,0.05,0.19,0.1,0.03,0.5,0.55,0.57,0.5,0.47,0.040984027,0.043334682,0.044778097,0.041546429,0.042760408
1193,NA,NA,Relative to AR:,0,0.19,0.33,0.24,0.17,0,0.05,0.07,0,-0.03,1,1.057355,1.092574,1.013722,1.043343
1771,31/12/1980,30/11/1985,Rolling 155,-0.16,0.04,0.19,0.07,0,0.5,0.55,0.57,0.5,0.47,0.040150223,0.04271583,0.044243398,0.041124865,0.042186861
1194,NA,NA,Relative to AR:,0,0.2,0.35,0.23,0.16,0,0.05,0.07,0,-0.03,1,1.0639,1.101947,1.024275,1.050725
1781,31/01/1981,31/12/1985,Rolling 156,-0.19,-0.01,0.21,0.08,0,0.5,0.53,0.57,0.52,0.48,0.040125447,0.043219762,0.043512154,0.040760752,0.041752588
1195,NA,NA,Relative to AR:,0,0.18,0.4,0.27,0.19,0,0.03,0.07,0.02,-0.02,1,1.077116,1.084403,1.015833,1.040551
1791,28/02/1981,31/01/1986,Rolling 157,-0.16,0.02,0.23,0.14,0.06,0.5,0.53,0.57,0.52,0.48,0.039392027,0.042015836,0.042189282,0.039199209,0.04033415
1196,NA,NA,Relative to AR:,0,0.18,0.39,0.3,0.22,0,0.03,0.07,0.02,-0.02,1,1.066608,1.071011,0.995105,1.023917
1801,31/03/1981,28/02/1986,Rolling 158,-0.15,0.02,0.24,0.14,0.06,0.48,0.53,0.58,0.53,0.5,0.040248237,0.042709129,0.04253141,0.03997201,0.040899405
1197,NA,NA,Relative to AR:,0,0.17,0.39,0.29,0.21,0,0.05,0.1,0.05,0.02,1,1.061143,1.056727,0.993137,1.016179
1811,30/04/1981,31/03/1986,Rolling 159,-0.09,0.05,0.26,0.18,0.08,0.5,0.55,0.58,0.55,0.5,0.040433116,0.042310966,0.042464815,0.039813394,0.041038104
1198,NA,NA,Relative to AR:,0,0.14,0.35,0.27,0.17,0,0.05,0.08,0.05,0,1,1.046443,1.050248,0.984673,1.014963
1821,31/05/1981,30/04/1986,Rolling 160,-0.12,0.05,0.26,0.15,0.07,0.48,0.55,0.58,0.53,0.5,0.040388585,0.042215722,0.042388079,0.040031895,0.040902633
1199,NA,NA,Relative to AR:,0,0.17,0.38,0.27,0.19,0,0.07,0.1,0.05,0.02,1,1.045239,1.049506,0.991169,1.012728
1831,30/06/1981,31/05/1986,Rolling 161,-0.1,0.06,0.26,0.17,0.06,0.48,0.55,0.58,0.53,0.5,0.040742225,0.042355178,0.042460284,0.040136717,0.041095373
1200,NA,NA,Relative to AR:,0,0.16,0.36,0.27,0.16,0,0.07,0.1,0.05,0.02,1,1.039589,1.042169,0.985138,1.008668
1841,31/07/1981,30/06/1986,Rolling 162,-0.09,0.05,0.26,0.15,0.06,0.48,0.55,0.58,0.53,0.52,0.040664153,0.042307374,0.042442934,0.040132548,0.040909129
1202,NA,NA,Relative to AR:,0,0.14,0.35,0.24,0.15,0,0.07,0.1,0.05,0.04,1,1.04041,1.043743,0.986927,1.006024
1851,31/08/1981,31/07/1986,Rolling 163,-0.13,0.05,0.24,0.14,0.06,0.47,0.55,0.57,0.52,0.52,0.041596872,0.042991139,0.043508673,0.041236125,0.041898376
1203,NA,NA,Relative to AR:,0,0.18,0.37,0.27,0.19,0,0.08,0.1,0.05,0.05,1,1.033519,1.04596,0.991328,1.007248
1861,30/09/1981,31/08/1986,Rolling 164,-0.12,0.04,0.21,0.11,0.08,0.45,0.55,0.55,0.52,0.53,0.041302026,0.042633779,0.043905239,0.04093401,0.040878758
1204,NA,NA,Relative to AR:,0,0.16,0.33,0.23,0.2,0,0.1,0.1,0.07,0.08,1,1.032244,1.063029,0.99109,0.989752
1871,31/10/1981,30/09/1986,Rolling 165,-0.19,0.05,0.17,0.06,0.03,0.45,0.55,0.53,0.5,0.53,0.042336223,0.043296027,0.045372066,0.042313307,0.042082087
1205,NA,NA,Relative to AR:,0,0.24,0.36,0.25,0.22,0,0.1,0.08,0.05,0.08,1,1.022671,1.071708,0.999459,0.993997
1881,30/11/1981,31/10/1986,Rolling 166,-0.19,0.07,0.17,0.07,0.03,0.45,0.57,0.55,0.5,0.53,0.042595521,0.04309136,0.045361261,0.042408334,0.042253753
1206,NA,NA,Relative to AR:,0,0.26,0.36,0.26,0.22,0,0.12,0.1,0.05,0.08,1,1.011641,1.06493,0.995605,0.991976
1891,31/12/1981,30/11/1986,Rolling 167,-0.17,0.07,0.16,0.06,0.03,0.47,0.57,0.53,0.5,0.52,0.042433519,0.043191806,0.04548214,0.042452372,0.042245895
1207,NA,NA,Relative to AR:,0,0.24,0.33,0.23,0.2,0,0.1,0.06,0.03,0.05,1,1.01787,1.071845,1.000444,0.995578
1901,31/01/1982,31/12/1986,Rolling 168,-0.23,0.13,0.12,0.05,0,0.45,0.57,0.52,0.5,0.52,0.042493045,0.041777057,0.046636241,0.042554382,0.042320868
1208,NA,NA,Relative to AR:,0,0.36,0.35,0.28,0.23,0,0.12,0.07,0.05,0.07,1,0.98315,1.097503,1.001443,0.995948
1911,28/02/1982,31/01/1987,Rolling 169,-0.08,0.18,0.09,0.02,-0.08,0.45,0.57,0.5,0.48,0.52,0.044672627,0.043538508,0.049123473,0.045197852,0.044855721
1209,NA,NA,Relative to AR:,0,0.26,0.17,0.1,0,0,0.12,0.05,0.03,0.07,1,0.974613,1.099633,1.011757,1.004099
1921,31/03/1982,28/02/1987,Rolling 170,-0.12,0.1,0.04,0.01,-0.08,0.43,0.55,0.5,0.48,0.53,0.044060241,0.043792193,0.049025812,0.044248291,0.043635021
1210,NA,NA,Relative to AR:,0,0.22,0.16,0.13,0.04,0,0.12,0.07,0.05,0.1,1,0.993916,1.1127,1.004268,0.990349
1931,30/04/1982,31/03/1987,Rolling 171,-0.12,0.12,0.04,0.02,-0.08,0.43,0.55,0.5,0.5,0.55,0.044055827,0.043477264,0.049152515,0.044063859,0.043496587
1212,NA,NA,Relative to AR:,0,0.24,0.16,0.14,0.04,0,0.12,0.07,0.07,0.12,1,0.986868,1.115687,1.000182,0.987306
1941,31/05/1982,30/04/1987,Rolling 172,-0.13,0.12,0.04,0.03,-0.08,0.43,0.55,0.5,0.5,0.53,0.043921897,0.043443562,0.049030946,0.043816544,0.043548365
1213,NA,NA,Relative to AR:,0,0.25,0.17,0.16,0.05,0,0.12,0.07,0.07,0.1,1,0.989109,1.116321,0.997601,0.991496
1951,30/06/1982,31/05/1987,Rolling 173,-0.15,0.1,0.01,0.02,-0.11,0.43,0.53,0.48,0.48,0.55,0.043559538,0.043341174,0.048963849,0.043397272,0.042996138
1214,NA,NA,Relative to AR:,0,0.25,0.16,0.17,0.04,0,0.1,0.05,0.05,0.12,1,0.994987,1.124067,0.996275,0.987066
1961,31/07/1982,30/06/1987,Rolling 174,-0.14,0.08,-0.02,-0.01,-0.14,0.43,0.52,0.47,0.47,0.57,0.043630856,0.043908017,0.049529584,0.04383874,0.043022927
1215,NA,NA,Relative to AR:,0,0.22,0.12,0.13,0,0,0.09,0.04,0.04,0.14,1,1.006352,1.135196,1.004765,0.986067
1971,31/08/1982,31/07/1987,Rolling 175,-0.16,0.01,-0.05,-0.06,-0.21,0.43,0.5,0.47,0.47,0.57,0.04374642,0.044375494,0.049619184,0.043971139,0.043026399
1216,NA,NA,Relative to AR:,0,0.17,0.11,0.1,-0.05,0,0.07,0.04,0.04,0.14,1,1.01438,1.134246,1.005137,0.983541
1981,30/09/1982,31/08/1987,Rolling 176,-0.1,0.07,-0.04,-0.03,-0.18,0.45,0.5,0.47,0.47,0.57,0.041663106,0.041954418,0.048226232,0.04200172,0.041336694
1217,NA,NA,Relative to AR:,0,0.17,0.06,0.07,-0.08,0,0.05,0.02,0.02,0.12,1,1.006992,1.157528,1.008127,0.992165
1991,31/10/1982,30/09/1987,Rolling 177,-0.13,0.08,-0.02,-0.01,-0.17,0.43,0.52,0.47,0.48,0.57,0.041932337,0.042087566,0.048215677,0.042091401,0.041590845
1218,NA,NA,Relative to AR:,0,0.21,0.11,0.12,-0.04,0,0.09,0.04,0.05,0.14,1,1.003702,1.149845,1.003793,0.991856
200,30/11/1982,31/10/1987,Rolling 178,-0.3,0.06,-0.08,-0.11,-0.31,0.43,0.52,0.47,0.48,0.55,0.052486526,0.051855104,0.059090092,0.053536963,0.053812499
1219,NA,NA,Relative to AR:,0,0.36,0.22,0.19,-0.01,0,0.09,0.04,0.05,0.12,1,0.98797,1.125815,1.020013,1.025263
201,31/12/1982,30/11/1987,Rolling 179,-0.36,0.09,-0.11,-0.12,-0.37,0.43,0.52,0.47,0.47,0.53,0.055553937,0.052857302,0.061434952,0.05521381,0.056157
1220,NA,NA,Relative to AR:,0,0.45,0.25,0.24,-0.01,0,0.09,0.04,0.04,0.1,1,0.951459,1.105861,0.993878,1.010855
202,31/01/1983,31/12/1987,Rolling 180,-0.27,0.14,-0.07,-0.06,-0.29,0.45,0.52,0.48,0.47,0.53,0.055753511,0.052884106,0.0612535,0.05528655,0.056316209
1222,NA,NA,Relative to AR:,0,0.41,0.2,0.21,-0.02,0,0.07,0.03,0.02,0.08,1,0.948534,1.098648,0.991625,1.010093
203,28/02/1983,31/01/1988,Rolling 181,-0.27,0.13,-0.1,-0.06,-0.29,0.45,0.5,0.47,0.47,0.53,0.055851453,0.053199161,0.062048451,0.055383622,0.05634491
1223,NA,NA,Relative to AR:,0,0.4,0.17,0.21,-0.02,0,0.05,0.02,0.02,0.08,1,0.952512,1.110955,0.991624,1.008835
204,31/03/1983,29/02/1988,Rolling 182,-0.27,0.15,-0.09,-0.05,-0.27,0.47,0.5,0.47,0.48,0.53,0.055963543,0.05409157,0.06207478,0.055412552,0.056371168
1224,NA,NA,Relative to AR:,0,0.42,0.18,0.22,0,0,0.03,0,0.01,0.06,1,0.96655,1.1092,0.990154,1.007284
205,30/04/1983,31/03/1988,Rolling 183,-0.27,0.13,-0.09,-0.06,-0.27,0.47,0.5,0.47,0.48,0.52,0.056142254,0.054783356,0.062297707,0.055746994,0.056732829
1225,NA,NA,Relative to AR:,0,0.4,0.18,0.21,0,0,0.03,0,0.01,0.05,1,0.975795,1.10964,0.99296,1.010519
206,31/05/1983,30/04/1988,Rolling 184,-0.26,0.12,-0.09,-0.07,-0.26,0.47,0.5,0.47,0.48,0.52,0.055463003,0.054360459,0.062280168,0.055482513,0.056339771
1226,NA,NA,Relative to AR:,0,0.38,0.17,0.19,0,0,0.03,0,0.01,0.05,1,0.980121,1.122914,1.000352,1.015808
207,30/06/1983,31/05/1988,Rolling 185,-0.26,0.12,-0.09,-0.06,-0.26,0.45,0.52,0.48,0.48,0.52,0.055408939,0.054259917,0.062320144,0.055244704,0.056287569
1227,NA,NA,Relative to AR:,0,0.38,0.17,0.2,0,0,0.07,0.03,0.03,0.07,1,0.979263,1.124731,0.997036,1.015857
208,31/07/1983,30/06/1988,Rolling 186,-0.26,0.11,-0.11,-0.08,-0.26,0.45,0.5,0.47,0.47,0.52,0.055513334,0.054531343,0.06299958,0.05552674,0.056326481
1228,NA,NA,Relative to AR:,0,0.37,0.15,0.18,0,0,0.05,0.02,0.02,0.07,1,0.982311,1.134855,1.000241,1.014648
209,31/08/1983,31/07/1988,Rolling 187,-0.27,0.11,-0.1,-0.08,-0.25,0.43,0.5,0.47,0.47,0.52,0.055342782,0.054313027,0.062364698,0.055282726,0.055956265
1229,NA,NA,Relative to AR:,0,0.38,0.17,0.19,0.02,0,0.07,0.04,0.04,0.09,1,0.981393,1.12688,0.998915,1.011085
210,30/09/1983,31/08/1988,Rolling 188,-0.26,0.11,-0.1,-0.08,-0.27,0.43,0.5,0.47,0.47,0.5,0.055663905,0.054724494,0.06233573,0.055555087,0.056662468
1230,NA,NA,Relative to AR:,0,0.37,0.16,0.18,-0.01,0,0.07,0.04,0.04,0.07,1,0.983124,1.119859,0.998045,1.017939
2111,31/10/1983,30/09/1988,Rolling 189,-0.27,0.12,-0.08,-0.07,-0.25,0.43,0.52,0.48,0.47,0.5,0.055844635,0.054734857,0.062354357,0.055566805,0.056639049
1232,NA,NA,Relative to AR:,0,0.39,0.19,0.2,0.02,0,0.09,0.05,0.04,0.07,1,0.980127,1.116568,0.995025,1.014225
212,30/11/1983,31/10/1988,Rolling 190,-0.27,0.13,-0.08,-0.07,-0.24,0.45,0.52,0.48,0.47,0.52,0.055780689,0.054304193,0.062069337,0.05535633,0.056396764
1233,NA,NA,Relative to AR:,0,0.4,0.19,0.2,0.03,0,0.07,0.03,0.02,0.07,1,0.97353,1.112739,0.992392,1.011045
213,31/12/1983,30/11/1988,Rolling 191,-0.27,0.12,-0.06,-0.06,-0.24,0.45,0.5,0.48,0.47,0.5,0.055891635,0.054626008,0.062089637,0.055448721,0.056654252
1234,NA,NA,Relative to AR:,0,0.39,0.21,0.21,0.03,0,0.05,0.03,0.02,0.05,1,0.977356,1.110893,0.992075,1.013645
214,31/01/1984,31/12/1988,Rolling 192,-0.27,0.12,-0.07,-0.07,-0.24,0.45,0.5,0.48,0.47,0.52,0.055858582,0.054603464,0.062298297,0.05541275,0.05660709
1235,NA,NA,Relative to AR:,0,0.39,0.2,0.2,0.03,0,0.05,0.03,0.02,0.07,1,0.97753,1.115286,0.992019,1.0134
215,29/02/1984,31/01/1989,Rolling 193,-0.27,0.12,-0.1,-0.08,-0.25,0.45,0.5,0.47,0.47,0.53,0.056324118,0.055085291,0.063664355,0.05590356,0.056871983
1236,NA,NA,Relative to AR:,0,0.39,0.17,0.19,0.02,0,0.05,0.02,0.02,0.08,1,0.978005,1.130321,0.992533,1.009727
216,31/03/1984,28/02/1989,Rolling 194,-0.28,0.13,-0.09,-0.08,-0.26,0.43,0.52,0.47,0.47,0.53,0.056299103,0.054634186,0.062944809,0.055762353,0.056864694
1237,NA,NA,Relative to AR:,0,0.41,0.19,0.2,0.02,0,0.09,0.04,0.04,0.1,1,0.970427,1.118043,0.990466,1.010046
217,30/04/1984,31/03/1989,Rolling 195,-0.29,0.13,-0.08,-0.08,-0.26,0.45,0.52,0.48,0.48,0.53,0.056306231,0.0546504,0.06312181,0.05575162,0.05687698
1238,NA,NA,Relative to AR:,0,0.42,0.21,0.21,0.03,0,0.07,0.03,0.03,0.08,1,0.970592,1.121045,0.99015,1.010137
218,31/05/1984,30/04/1989,Rolling 196,-0.28,0.12,-0.08,-0.07,-0.24,0.45,0.5,0.48,0.48,0.55,0.056500839,0.05495303,0.063124852,0.055829733,0.056900292
1239,NA,NA,Relative to AR:,0,0.4,0.2,0.21,0.04,0,0.05,0.03,0.03,0.1,1,0.972606,1.117237,0.988122,1.00707
219,30/06/1984,31/05/1989,Rolling 197,-0.29,0.11,-0.09,-0.08,-0.26,0.45,0.48,0.48,0.5,0.57,0.055841098,0.054571915,0.062499103,0.055102165,0.055989952
1240,NA,NA,Relative to AR:,0,0.4,0.2,0.21,0.03,0,0.03,0.03,0.05,0.12,1,0.977272,1.119231,0.986767,1.002666
220,31/07/1984,30/06/1989,Rolling 198,-0.3,0.11,-0.09,-0.07,-0.27,0.45,0.5,0.48,0.52,0.55,0.055883865,0.05450181,0.062231209,0.054996552,0.056168945
1242,NA,NA,Relative to AR:,0,0.41,0.21,0.23,0.03,0,0.05,0.03,0.07,0.1,1,0.975269,1.113581,0.984122,1.005101
221,31/08/1984,31/07/1989,Rolling 199,-0.3,0.12,-0.09,-0.09,-0.24,0.45,0.5,0.48,0.52,0.57,0.05657173,0.055116018,0.062599031,0.055723891,0.056358435
1243,NA,NA,Relative to AR:,0,0.42,0.21,0.21,0.06,0,0.05,0.03,0.07,0.12,1,0.974268,1.106543,0.985013,0.99623
222,30/09/1984,31/08/1989,Rolling 200,-0.27,0.11,-0.1,-0.06,-0.22,0.47,0.48,0.47,0.52,0.57,0.055146785,0.054240328,0.061914443,0.054349323,0.055354986
1244,NA,NA,Relative to AR:,0,0.38,0.17,0.21,0.05,0,0.01,0,0.05,0.1,1,0.983563,1.122721,0.985539,1.003775
223,31/10/1984,30/09/1989,Rolling 201,-0.28,0.1,-0.1,-0.06,-0.22,0.47,0.48,0.47,0.52,0.57,0.055177723,0.054381822,0.062059681,0.05435952,0.05534174
1245,NA,NA,Relative to AR:,0,0.38,0.18,0.22,0.06,0,0.01,0,0.05,0.1,1,0.985576,1.124723,0.985171,1.002973
224,30/11/1984,31/10/1989,Rolling 202,-0.28,0.1,-0.09,-0.05,-0.23,0.45,0.48,0.47,0.52,0.57,0.055381137,0.054527554,0.061977223,0.054482935,0.055755518
1246,NA,NA,Relative to AR:,0,0.38,0.19,0.23,0.05,0,0.03,0.02,0.07,0.12,1,0.984587,1.119103,0.983781,1.00676
225,31/12/1984,30/11/1989,Rolling 203,-0.29,0.1,-0.08,-0.05,-0.22,0.45,0.48,0.48,0.52,0.58,0.055322804,0.054448908,0.061726381,0.054352742,0.055574836
1247,NA,NA,Relative to AR:,0,0.39,0.21,0.24,0.07,0,0.03,0.03,0.07,0.13,1,0.984204,1.115749,0.982465,1.004556
226,31/01/1985,31/12/1989,Rolling 204,-0.29,0.1,-0.08,-0.06,-0.22,0.47,0.48,0.5,0.5,0.58,0.055286955,0.054451387,0.061508524,0.054399529,0.055588549
1248,NA,NA,Relative to AR:,0,0.39,0.21,0.23,0.07,0,0.01,0.03,0.03,0.11,1,0.984887,1.112532,0.983949,1.005455
227,28/02/1985,31/01/1990,Rolling 205,-0.27,0.11,-0.1,-0.03,-0.19,0.47,0.5,0.48,0.5,0.57,0.055618901,0.054675507,0.062620529,0.054704531,0.056362027
1249,NA,NA,Relative to AR:,0,0.38,0.17,0.24,0.08,0,0.03,0.01,0.03,0.1,1,0.983038,1.125886,0.98356,1.013361
228,31/03/1985,28/02/1990,Rolling 206,-0.27,0.11,-0.1,-0.03,-0.19,0.45,0.52,0.48,0.5,0.57,0.055620873,0.054661575,0.062579917,0.054751724,0.056380898
1250,NA,NA,Relative to AR:,0,0.38,0.17,0.24,0.08,0,0.07,0.03,0.05,0.12,1,0.982753,1.125116,0.984374,1.013664
229,30/04/1985,31/03/1990,Rolling 207,-0.27,0.1,-0.1,-0.03,-0.19,0.47,0.5,0.48,0.52,0.58,0.05562149,0.054815247,0.062812535,0.054728415,0.056311263
1252,NA,NA,Relative to AR:,0,0.37,0.17,0.24,0.08,0,0.03,0.01,0.05,0.11,1,0.985505,1.129285,0.983944,1.012401
230,31/05/1985,30/04/1990,Rolling 208,-0.28,0.11,-0.09,-0.02,-0.21,0.45,0.5,0.48,0.53,0.58,0.05584149,0.054864357,0.062750319,0.054788605,0.056724656
1253,NA,NA,Relative to AR:,0,0.39,0.19,0.26,0.07,0,0.05,0.03,0.08,0.13,1,0.982502,1.123722,0.981145,1.015816
231,30/06/1985,31/05/1990,Rolling 209,-0.28,0.09,-0.08,-0.06,-0.19,0.45,0.48,0.48,0.52,0.58,0.056471224,0.055966721,0.063030519,0.055860237,0.05713045
1254,NA,NA,Relative to AR:,0,0.37,0.2,0.22,0.09,0,0.03,0.03,0.07,0.13,1,0.991066,1.116153,0.989181,1.011674
232,31/07/1985,30/06/1990,Rolling 210,-0.28,0.09,-0.08,-0.05,-0.2,0.43,0.48,0.47,0.52,0.57,0.056563504,0.055956963,0.063127183,0.055877719,0.057306897
1255,NA,NA,Relative to AR:,0,0.37,0.2,0.23,0.08,0,0.05,0.04,0.09,0.14,1,0.989277,1.116041,0.987876,1.013143
233,31/08/1985,31/07/1990,Rolling 211,-0.29,0.1,-0.08,-0.05,-0.2,0.42,0.48,0.47,0.52,0.57,0.056587577,0.055864052,0.063134701,0.055726423,0.057393525
1256,NA,NA,Relative to AR:,0,0.39,0.21,0.24,0.09,0,0.06,0.05,0.1,0.15,1,0.987214,1.115699,0.984782,1.014242
234,30/09/1985,31/08/1990,Rolling 212,-0.29,0.11,-0.1,-0.04,-0.23,0.4,0.5,0.47,0.52,0.57,0.058297333,0.05719538,0.065237127,0.057431528,0.059663586
1257,NA,NA,Relative to AR:,0,0.4,0.19,0.25,0.06,0,0.1,0.07,0.12,0.17,1,0.981098,1.119041,0.985148,1.023436
235,31/10/1985,30/09/1990,Rolling 213,-0.29,0.13,-0.07,0.01,-0.26,0.38,0.52,0.47,0.52,0.57,0.058606472,0.057057674,0.065094371,0.057302234,0.060188499
1258,NA,NA,Relative to AR:,0,0.42,0.22,0.3,0.03,0,0.14,0.09,0.14,0.19,1,0.973573,1.110703,0.977746,1.026994
236,30/11/1985,31/10/1990,Rolling 214,-0.28,0.13,-0.06,0.01,-0.25,0.4,0.52,0.47,0.52,0.55,0.058399794,0.05697051,0.065182252,0.057167455,0.06034274
1259,NA,NA,Relative to AR:,0,0.41,0.22,0.29,0.03,0,0.12,0.07,0.12,0.15,1,0.975526,1.116138,0.978898,1.03327
237,31/12/1985,30/11/1990,Rolling 215,-0.27,0.1,-0.09,0,-0.22,0.4,0.52,0.45,0.5,0.55,0.058260965,0.057716658,0.066142616,0.057303948,0.060113335
1260,NA,NA,Relative to AR:,0,0.37,0.18,0.27,0.05,0,0.12,0.05,0.1,0.15,1,0.990657,1.135282,0.983574,1.031794
238,31/01/1986,31/12/1990,Rolling 216,-0.27,0.11,-0.1,0,-0.21,0.4,0.52,0.45,0.48,0.55,0.058121401,0.057572549,0.066371276,0.057194698,0.059989464
1262,NA,NA,Relative to AR:,0,0.38,0.17,0.27,0.06,0,0.12,0.05,0.08,0.15,1,0.990557,1.141942,0.984056,1.032141
239,28/02/1986,31/01/1991,Rolling 217,-0.28,0.11,-0.11,-0.03,-0.23,0.42,0.52,0.45,0.48,0.57,0.058267178,0.057752439,0.067041546,0.058023383,0.060091501
1263,NA,NA,Relative to AR:,0,0.39,0.17,0.25,0.05,0,0.1,0.03,0.06,0.15,1,0.991166,1.150589,0.995816,1.03131
240,31/03/1986,28/02/1991,Rolling 218,-0.27,0.06,-0.14,-0.08,-0.24,0.43,0.5,0.43,0.47,0.57,0.058157704,0.059093895,0.06802651,0.059055462,0.06013777
1264,NA,NA,Relative to AR:,0,0.33,0.13,0.19,0.03,0,0.07,0,0.04,0.14,1,1.016097,1.16969,1.015437,1.034047
241,30/04/1986,31/03/1991,Rolling 219,-0.27,0.05,-0.16,-0.11,-0.23,0.43,0.48,0.42,0.45,0.57,0.05794629,0.059161907,0.068416757,0.059169136,0.060008543
1265,NA,NA,Relative to AR:,0,0.32,0.11,0.16,0.04,0,0.05,-0.01,0.02,0.14,1,1.020978,1.180693,1.021103,1.035589
