,Start,End,Comment,AR_IC,LR_IC,DT_IC,RF_IC,XB_IC,AR_HR,LR_HR,DT_HR,RF_HR,XB_HR,AR_RMSFE,LR_RMSFE,DT_RMSFE,RF_RMSFE,XB_RMSFE
46,31/01/1970,31/12/1974,Rolling 24,-0.08,0.32,0.21,0.22,0.32,0.48,0.57,0.58,0.63,0.53,0.050931741,0.046986074,0.051125704,0.048435164,0.049757334
149,NA,NA,Relative to AR:,0,0.4,0.29,0.3,0.4,0,0.09,0.1,0.15,0.05,1,0.92253,1.003808,0.950982,0.976942
47,28/02/1970,31/01/1975,Rolling 25,-0.09,0.31,0.13,0.17,0.17,0.47,0.57,0.57,0.62,0.53,0.052100849,0.048543524,0.054638899,0.050693061,0.051421925
150,NA,NA,Relative to AR:,0,0.4,0.22,0.26,0.26,0,0.1,0.1,0.15,0.06,1,0.931722,1.048714,0.97298,0.986969
48,31/03/1970,28/02/1975,Rolling 26,-0.1,0.33,0.14,0.2,0.22,0.47,0.57,0.57,0.63,0.55,0.052258704,0.048271669,0.054599528,0.05039958,0.051132332
152,NA,NA,Relative to AR:,0,0.43,0.24,0.3,0.32,0,0.1,0.1,0.16,0.08,1,0.923706,1.044793,0.964425,0.978446
49,30/04/1970,31/03/1975,Rolling 27,-0.09,0.32,0.11,0.19,0.2,0.45,0.57,0.55,0.63,0.55,0.052316835,0.048756213,0.056042606,0.050622766,0.051287313
153,NA,NA,Relative to AR:,0,0.41,0.2,0.28,0.29,0,0.12,0.1,0.18,0.1,1,0.931941,1.071216,0.967619,0.980321
50,31/05/1970,30/04/1975,Rolling 28,-0.09,0.35,0.12,0.22,0.19,0.43,0.57,0.53,0.63,0.57,0.051145668,0.04730438,0.055162911,0.049282793,0.049790588
154,NA,NA,Relative to AR:,0,0.44,0.21,0.31,0.28,0,0.14,0.1,0.2,0.14,1,0.924895,1.078545,0.963577,0.973505
51,30/06/1970,31/05/1975,Rolling 29,-0.07,0.35,0.11,0.26,0.2,0.45,0.57,0.52,0.65,0.58,0.050578244,0.047193808,0.055358264,0.04856963,0.048994187
155,NA,NA,Relative to AR:,0,0.42,0.18,0.33,0.27,0,0.12,0.07,0.2,0.13,1,0.933085,1.094507,0.960287,0.968681
52,31/07/1970,30/06/1975,Rolling 30,-0.05,0.37,0.15,0.3,0.23,0.45,0.57,0.53,0.67,0.6,0.050275821,0.04673218,0.054541414,0.047868673,0.048124369
156,NA,NA,Relative to AR:,0,0.42,0.2,0.35,0.28,0,0.12,0.08,0.22,0.15,1,0.929516,1.084844,0.952121,0.957207
53,31/08/1970,31/07/1975,Rolling 31,-0.06,0.4,0.09,0.26,0.18,0.47,0.58,0.52,0.67,0.58,0.050431376,0.045945847,0.055673432,0.048300252,0.049264819
157,NA,NA,Relative to AR:,0,0.46,0.15,0.32,0.24,0,0.11,0.05,0.2,0.11,1,0.911057,1.103944,0.957742,0.976868
54,30/09/1970,31/08/1975,Rolling 32,-0.06,0.39,0.09,0.25,0.18,0.48,0.58,0.53,0.67,0.57,0.050165937,0.045763933,0.055458683,0.04811478,0.049233746
158,NA,NA,Relative to AR:,0,0.45,0.15,0.31,0.24,0,0.1,0.05,0.19,0.09,1,0.912251,1.105505,0.959113,0.981418
55,31/10/1970,30/09/1975,Rolling 33,-0.05,0.39,0.08,0.25,0.19,0.5,0.58,0.52,0.68,0.55,0.050179204,0.045704445,0.055702471,0.048037214,0.049454556
159,NA,NA,Relative to AR:,0,0.44,0.13,0.3,0.24,0,0.08,0.02,0.18,0.05,1,0.910824,1.110071,0.957313,0.985559
56,30/11/1970,31/10/1975,Rolling 34,-0.06,0.39,0.09,0.23,0.17,0.48,0.58,0.53,0.67,0.55,0.050762495,0.046476128,0.055985524,0.049017963,0.049905447
160,NA,NA,Relative to AR:,0,0.45,0.15,0.29,0.23,0,0.1,0.05,0.19,0.07,1,0.91556,1.102891,0.965633,0.983116
57,31/12/1970,30/11/1975,Rolling 35,-0.05,0.39,0.08,0.24,0.16,0.48,0.58,0.53,0.68,0.55,0.050459462,0.046185316,0.055907569,0.048694386,0.04976391
162,NA,NA,Relative to AR:,0,0.44,0.13,0.29,0.21,0,0.1,0.05,0.2,0.07,1,0.915295,1.10797,0.96502,0.986216
58,31/01/1971,31/12/1975,Rolling 36,-0.05,0.39,0.11,0.23,0.16,0.5,0.6,0.55,0.7,0.55,0.049975017,0.045739086,0.054241471,0.048240931,0.049448216
163,NA,NA,Relative to AR:,0,0.44,0.16,0.28,0.21,0,0.1,0.05,0.2,0.05,1,0.915239,1.085372,0.965301,0.989459
59,28/02/1971,31/01/1976,Rolling 37,-0.07,0.37,0.15,0.25,0.17,0.5,0.6,0.57,0.7,0.57,0.051856056,0.047826301,0.054537848,0.049772968,0.050933916
164,NA,NA,Relative to AR:,0,0.44,0.22,0.32,0.24,0,0.1,0.07,0.2,0.07,1,0.92229,1.051716,0.959829,0.982217
60,31/03/1971,29/02/1976,Rolling 38,-0.07,0.37,0.15,0.24,0.16,0.52,0.62,0.55,0.7,0.55,0.05188066,0.047952729,0.054779063,0.049783517,0.051018702
165,NA,NA,Relative to AR:,0,0.44,0.22,0.31,0.23,0,0.1,0.03,0.18,0.03,1,0.924289,1.055867,0.959578,0.983386
61,30/04/1971,31/03/1976,Rolling 39,-0.07,0.33,0.13,0.23,0.16,0.52,0.6,0.53,0.68,0.53,0.051836058,0.04940604,0.055171027,0.049959335,0.051025749
166,NA,NA,Relative to AR:,0,0.4,0.2,0.3,0.23,0,0.08,0.01,0.16,0.01,1,0.953121,1.064337,0.963795,0.984368
62,31/05/1971,30/04/1976,Rolling 40,-0.08,0.31,0.11,0.21,0.14,0.53,0.6,0.52,0.67,0.52,0.05167477,0.049412239,0.055283196,0.050022589,0.051108164
167,NA,NA,Relative to AR:,0,0.39,0.19,0.29,0.22,0,0.07,-0.01,0.14,-0.01,1,0.956216,1.06983,0.968027,0.989035
63,30/06/1971,31/05/1976,Rolling 41,-0.07,0.31,0.1,0.19,0.14,0.55,0.6,0.5,0.65,0.52,0.051324913,0.049357493,0.055421826,0.050126504,0.050760044
168,NA,NA,Relative to AR:,0,0.38,0.17,0.26,0.21,0,0.05,-0.05,0.1,-0.03,1,0.961667,1.079823,0.976651,0.988994
64,31/07/1971,30/06/1976,Rolling 42,-0.07,0.31,0.09,0.19,0.14,0.53,0.58,0.5,0.63,0.53,0.051568624,0.049568607,0.055773896,0.050488376,0.050848704
169,NA,NA,Relative to AR:,0,0.38,0.16,0.26,0.21,0,0.05,-0.03,0.1,0,1,0.961216,1.081547,0.979052,0.98604
65,31/08/1971,31/07/1976,Rolling 43,-0.07,0.3,0.1,0.19,0.13,0.53,0.57,0.5,0.62,0.52,0.051393536,0.049612316,0.055476833,0.05038377,0.050758825
170,NA,NA,Relative to AR:,0,0.37,0.17,0.26,0.2,0,0.04,-0.03,0.09,-0.01,1,0.965342,1.079452,0.980352,0.98765
66,30/09/1971,31/08/1976,Rolling 44,-0.07,0.3,0.11,0.18,0.13,0.55,0.57,0.52,0.63,0.52,0.051226386,0.0494662,0.055190322,0.050159648,0.050695013
172,NA,NA,Relative to AR:,0,0.37,0.18,0.25,0.2,0,0.02,-0.03,0.08,-0.03,1,0.965639,1.077381,0.979176,0.989627
